,Close_^DJI,Close_^FCHI,Close_^FTSE,Close_^GDAXI,Close_^GSPTSE,Close_^HSI,Close_^IXIC,Close_^N225,Volume_^DJI,Volume_^FCHI,Volume_^FTSE,Volume_^GDAXI,Volume_^GSPTSE,Volume_^HSI,Volume_^IXIC,Volume_^N225,SP500_Open,SP500_Close,SP500_Volume,SP500_Wk_Vol,MORTGAGE30US,FF,WGS10YR,WAAA,WTB3MS,ICSA,WGS1YR,WGS2YR,NFCI,WTREGEN,WGS5YR,WBAA,DPSACBW027SBOG,WCOILWTICO,WGS30YR,WRESBAL,WGS20YR,MORTGAGE15US,WPRIME,CCSA,TOTCI
1992-04-20,3336.300048828125,1978.199951171875,2638.60009765625,1746.8800048828125,3398.800048828125,5082.7001953125,577.2000122070312,17071.359375,22290000.0,0.0,0.0,0.0,119400.0,0.0,178050000.0,0.0,416.04998779296875,410.17999267578125,191980000.0,23.8699951171875,8.76,3.65,7.38,8.28,3.63,424000.0,4.14,5.21,-0.73454,4.435,6.65,9.16,2522.149,20.06,7.89,23.035,7.36,8.38,6.5,3339000.0,605.7139
1992-04-27,3304.56005859375,1995.699951171875,2658.199951171875,1742.9200439453125,3326.5,5371.7998046875,566.9400024414062,17450.51953125,21610000.0,0.0,0.0,0.0,186700.0,0.0,162140000.0,0.0,409.0299987792969,408.45001220703125,172900000.0,23.8699951171875,8.85,3.47,7.58,8.33,3.68,424000.0,4.32,5.4,-0.76014,5.178,6.89,9.24,2485.3701,20.06,8.04,21.981,7.36,8.49,6.5,3365000.0,603.3186
1992-05-04,3378.10009765625,2041.5999755859375,2659.800048828125,1731.2900390625,3363.5,5613.7998046875,583.5399780273438,17303.390625,18680000.0,0.0,0.0,0.0,181200.0,0.0,144230000.0,0.0,412.5400085449219,416.9100036621094,174540000.0,11.510009765625,8.84,3.65,7.59,8.37,3.69,431000.0,4.34,5.4,-0.78599,4.781,6.88,9.23,2468.4726,20.63,8.06,22.306,7.36,8.46,6.5,3397000.0,601.6556
1992-05-11,3397.60009765625,2077.5,2737.800048828125,1750.699951171875,3427.199951171875,5632.2998046875,587.1300048828125,18608.08984375,14110000.0,0.0,0.0,0.0,280300.0,0.0,141070000.0,0.0,416.04998779296875,418.489990234375,155730000.0,8.8800048828125,8.75,3.77,7.5,8.35,3.63,417000.0,4.25,5.3,-0.80996,4.774,6.78,9.2,2481.6596,20.86,7.98,20.929,7.36,8.38,6.5,3354000.0,602.1695
1992-05-18,3376.0,2051.60009765625,2703.60009765625,1763.5899658203125,3391.39990234375,5637.10009765625,576.530029296875,18443.099609375,14960000.0,0.0,0.0,0.0,202000.0,0.0,129350000.0,0.0,410.1300048828125,412.80999755859375,151380000.0,8.899993896484375,8.64,3.84,7.34,8.27,3.6,414000.0,4.12,5.16,-0.83158,5.012,6.65,9.12,2482.5851,20.8,7.86,22.577,7.36,8.26,6.5,3296000.0,602.9704
1992-05-25,3386.800048828125,2046.300048828125,2715.0,1812.3299560546875,3370.300048828125,5993.10009765625,580.2999877929688,18555.0,17690000.0,0.0,0.0,0.0,188000.0,0.0,124860000.0,0.0,412.6099853515625,414.0199890136719,146710000.0,6.97998046875,8.53,3.89,7.29,8.23,3.61,414000.0,4.12,5.17,-0.8507,5.07,6.61,9.07,2487.7162,20.49,7.81,19.713,7.36,8.16,6.5,3285000.0,602.3457
1992-06-01,3413.199951171875,2017.4000244140625,2697.60009765625,1798.22998046875,3404.0,6056.0,588.3699951171875,18004.109375,21280000.0,0.0,0.0,0.0,228400.0,0.0,141570000.0,0.0,415.3500061035156,417.29998779296875,180800000.0,6.97998046875,8.6,3.8,7.4,8.25,3.71,411000.0,4.27,5.26,-0.86672,5.438,6.7,9.11,2488.0149,21.98,7.89,21.003,7.36,8.21,6.5,3392000.0,601.7539
1992-06-08,3404.10009765625,1981.5999755859375,2645.800048828125,1789.050048828125,3394.5,5978.7998046875,582.010009765625,17655.060546875,16280000.0,0.0,0.0,0.0,208900.0,0.0,129050000.0,0.0,413.4800109863281,413.3599853515625,161240000.0,7.389984130859375,8.59,3.85,7.35,8.24,3.71,416000.0,4.27,5.21,-0.88068,5.54,6.61,9.09,2469.1088,22.38,7.87,20.497,7.36,8.18,6.5,3265000.0,601.4598
1992-06-15,3354.89990234375,1918.0999755859375,2593.60009765625,1773.25,3409.800048828125,5819.10009765625,569.010009765625,16953.23046875,17220000.0,0.0,0.0,0.0,231600.0,0.0,132360000.0,0.0,409.760009765625,410.2900085449219,164080000.0,7.84002685546875,8.54,3.69,7.32,8.24,3.67,420000.0,4.18,5.1,-0.89423,4.916,6.56,9.08,2486.7964,22.35,7.87,22.26,7.36,8.12,6.5,3270000.0,601.4444
1992-06-22,3280.800048828125,1885.800048828125,2550.300048828125,1770.719970703125,3340.699951171875,5819.89990234375,549.72998046875,15921.2197265625,20420000.0,0.0,0.0,0.0,230300.0,0.0,151190000.0,0.0,403.6400146484375,403.3999938964844,169370000.0,11.939971923828125,8.48,3.73,7.24,8.22,3.63,419000.0,4.12,5.0,-0.90744,6.657,6.44,9.02,2471.4448,22.26,7.83,20.418,7.36,8.03,6.5,3284000.0,600.6369
1992-06-29,3319.860107421875,1907.300048828125,2515.800048828125,1755.97998046875,3375.800048828125,6057.89990234375,558.7999877929688,15741.26953125,17130000.0,0.0,0.0,0.0,203000.0,0.0,159520000.0,0.0,403.4700012207031,408.94000244140625,176750000.0,9.03997802734375,8.43,3.72,7.2,8.2,3.64,420000.0,4.14,4.96,-0.92017,8.136,6.4,9.02,2492.8055,22.68,7.82,22.005,7.36,7.98,6.5,3340000.0,600.455
1992-07-06,3339.199951171875,1868.5,2469.0,1769.97998046875,3426.89990234375,6024.7998046875,563.1699829101562,16657.0703125,23870000.0,0.0,0.0,0.0,206600.0,0.0,134770000.0,0.0,411.7699890136719,413.8399963378906,186920000.0,13.769989013671875,8.29,3.87,7.07,8.16,3.48,407000.0,3.96,4.76,-0.93174,8.434,6.22,8.98,2498.3628,22.03,7.74,20.481,7.36,7.84,6.5,3212000.0,601.7043
1992-07-13,3337.300048828125,1859.4000244140625,2478.300048828125,1731.43994140625,3449.199951171875,6085.89990234375,570.219970703125,17201.73046875,13650000.0,0.0,0.0,0.0,188900.0,0.0,132930000.0,0.0,414.6199951171875,414.8699951171875,148870000.0,13.769989013671875,8.13,3.24,6.9,8.08,3.22,408000.0,3.64,4.41,-0.94061,6.133,5.93,8.89,2466.1402,21.48,7.62,21.544,7.36,7.67,6.0,3103000.0,599.537
1992-07-20,3303.0,1767.9000244140625,2403.699951171875,1652.7099609375,3452.60009765625,5986.5,564.280029296875,15884.48046875,18060000.0,0.0,0.0,0.0,247800.0,0.0,117830000.0,0.0,415.6199951171875,413.75,165760000.0,7.209991455078125,8.09,3.28,6.92,8.09,3.19,392000.0,3.53,4.3,-0.9466,5.245,5.85,8.87,2499.8427,21.58,7.66,20.722,7.36,7.63,6.0,3238000.0,601.6003
1992-07-27,3282.199951171875,1755.4000244140625,2348.0,1617.780029296875,3396.5,5664.39990234375,564.72998046875,15373.33984375,14760000.0,0.0,0.0,0.0,191500.0,0.0,128130000.0,0.0,411.6000061035156,411.5400085449219,164700000.0,7.730010986328125,8.08,3.22,6.82,8.06,3.17,564000.0,3.53,4.28,-0.94871,5.231,5.74,8.82,2485.7419,21.95,7.61,21.823,7.36,7.61,6.0,3318000.0,599.0263
1992-08-03,3395.39990234375,1784.4000244140625,2420.199951171875,1605.1099853515625,3443.39990234375,5910.7001953125,582.3599853515625,15709.4501953125,17280000.0,0.0,0.0,0.0,280400.0,0.0,141300000.0,0.0,424.19000244140625,425.0899963378906,164460000.0,15.160003662109375,8.05,3.18,6.67,8.01,3.18,423000.0,3.57,4.31,-0.9468,5.562,5.7,8.71,2466.565,21.95,7.46,20.507,7.36,7.6,6.0,3467000.0,596.993
1992-08-10,3337.56005859375,1755.199951171875,2325.699951171875,1578.949951171875,3408.800048828125,5867.89990234375,573.1400146484375,15066.33984375,15580000.0,0.0,0.0,0.0,167500.0,0.0,120450000.0,0.0,418.8699951171875,419.4200134277344,142480000.0,8.100006103515625,8.06,3.33,6.65,7.99,3.16,406000.0,3.54,4.29,-0.9416,6.707,5.69,8.68,2485.9885,21.34,7.43,22.021,7.36,7.59,6.0,3211000.0,597.6094
1992-08-17,3324.89990234375,1757.300048828125,2376.10009765625,1554.760009765625,3379.800048828125,5667.89990234375,572.469970703125,14929.5498046875,13860000.0,0.0,0.0,0.0,222100.0,0.0,132560000.0,0.0,419.8900146484375,420.739990234375,152830000.0,7.050018310546875,7.96,3.24,6.52,7.93,3.11,401000.0,3.43,4.16,-0.93417,5.445,5.53,8.62,2486.002,21.18,7.34,20.116,7.36,7.48,6.0,3210000.0,597.4052
1992-08-24,3228.199951171875,1689.699951171875,2311.10009765625,1484.969970703125,3380.800048828125,5390.89990234375,555.3900146484375,16627.9609375,18360000.0,0.0,0.0,0.0,236900.0,0.0,138460000.0,0.0,414.79998779296875,410.7200012207031,165690000.0,11.82000732421875,7.87,3.33,6.5,7.91,3.07,398000.0,3.4,4.08,-0.92423,5.291,5.48,8.62,2478.293,21.39,7.34,22.911,7.36,7.38,6.0,3188000.0,596.5185
1992-08-31,3257.39990234375,1684.9000244140625,2312.60009765625,1529.969970703125,3402.89990234375,5628.60009765625,563.1199951171875,18061.119140625,12800000.0,0.0,0.0,0.0,251000.0,0.0,133530000.0,0.0,414.8699951171875,414.0299987792969,161480000.0,12.050018310546875,8.01,3.27,6.67,7.97,3.16,408000.0,3.52,4.25,-0.9114,5.62,5.69,8.69,2490.1157,21.43,7.44,19.714,7.36,7.51,6.0,3175000.0,596.8515
1992-09-07,3281.89990234375,1779.300048828125,2372.199951171875,1538.6600341796875,3456.800048828125,5664.39990234375,573.4400024414062,18440.1796875,13210000.0,0.0,0.0,0.0,323100.0,0.0,122380000.0,0.0,417.9800109863281,417.0799865722656,124380000.0,6.959991455078125,7.94,3.33,6.53,7.93,3.1,416000.0,3.39,4.07,-0.89465,5.744,5.48,8.64,2478.1757,21.66,7.37,22.279,7.36,7.44,6.0,3167000.0,598.1578
1992-09-14,3376.199951171875,1873.5999755859375,2422.10009765625,1601.5,3470.39990234375,5607.2001953125,594.2100219726562,18471.400390625,30720000.0,0.0,0.0,0.0,331600.0,0.0,227000000.0,0.0,419.6499938964844,425.2699890136719,250940000.0,6.959991455078125,7.84,3.09,6.32,7.87,2.91,416000.0,3.17,3.85,-0.87351,5.923,5.26,8.54,2489.2169,21.94,7.26,22.084,7.36,7.33,6.0,3261000.0,598.1344
1992-09-21,3320.800048828125,1826.0999755859375,2560.10009765625,1566.0,3420.0,5741.5,588.5800170898438,18066.240234375,15850000.0,0.0,0.0,0.0,273700.0,0.0,159460000.0,0.0,422.8999938964844,422.1400146484375,153940000.0,7.5,7.89,3.28,6.39,7.91,2.89,427000.0,3.15,3.86,-0.84558,6.284,5.37,8.58,2499.9005,22.21,7.32,24.813,7.36,7.37,6.0,3195000.0,598.6113
1992-09-28,3276.260009765625,1770.300048828125,2560.0,1481.030029296875,3368.0,5597.2001953125,575.3400268554688,17972.609375,18020000.0,0.0,0.0,0.0,240600.0,0.0,124360000.0,0.0,414.3500061035156,416.6199951171875,158760000.0,10.220001220703125,8.02,3.07,6.47,7.96,2.89,409000.0,3.16,3.91,-0.81193,13.697,5.46,8.69,2484.8516,21.71,7.41,20.45,7.36,7.48,6.0,3194000.0,598.5107
1992-10-05,3179.0,1611.0,2446.300048828125,1402.3399658203125,3227.5,5595.39990234375,565.2100219726562,17101.5,37360000.0,0.0,0.0,0.0,369000.0,0.0,223690000.0,0.0,410.4700012207031,407.57000732421875,286550000.0,21.870025634765625,7.93,3.41,6.32,7.93,2.69,398000.0,3.02,3.75,-0.77485,21.297,5.26,8.64,2490.9137,21.81,7.34,23.641,7.36,7.37,6.0,3121000.0,598.3785
1992-10-12,3174.39990234375,1655.0999755859375,2557.199951171875,1441.5699462890625,3218.5,5725.60009765625,573.8400268554688,17302.009765625,14260000.0,0.0,0.0,0.0,245900.0,0.0,127850000.0,0.0,402.6600036621094,407.44000244140625,126670000.0,19.550018310546875,8.01,3.2,6.39,7.92,2.76,374000.0,3.09,3.83,-0.73815,5.499,5.35,8.72,2485.4229,21.9,7.44,22.701,7.36,7.46,6.0,3072000.0,597.8548
1992-10-19,3188.5,1679.0999755859375,2562.199951171875,1479.5899658203125,3225.5,6089.89990234375,590.6699829101562,16903.810546875,26190000.0,0.0,0.0,0.0,257100.0,0.0,198130000.0,0.0,411.7300109863281,414.9800109863281,222150000.0,12.55999755859375,8.06,3.2,6.54,7.96,2.9,385000.0,3.26,4.02,-0.70538,4.555,5.52,8.84,2506.8563,22.25,7.52,24.922,7.36,7.51,6.0,3083000.0,597.3273
1992-10-26,3244.10009765625,1770.699951171875,2661.60009765625,1534.02001953125,3276.0,6062.5,598.9199829101562,17011.330078125,23440000.0,0.0,0.0,0.0,392700.0,0.0,168800000.0,0.0,414.0899963378906,418.1600036621094,188060000.0,10.740020751953125,8.23,3.05,6.78,8.04,2.95,367000.0,3.48,4.28,-0.67991,4.675,5.83,8.93,2497.6502,21.58,7.62,23.145,7.36,7.71,6.0,3063000.0,596.1833
1992-11-02,3262.199951171875,1742.4000244140625,2687.800048828125,1482.43994140625,3379.0,6231.2001953125,607.5700073242188,16853.359375,23860000.0,0.0,0.0,0.0,291900.0,0.0,179350000.0,0.0,418.6600036621094,422.75,203280000.0,9.07000732421875,8.21,2.96,6.78,8.07,2.94,365000.0,3.5,4.35,-0.66457,5.191,5.85,8.96,2497.5971,20.95,7.63,22.921,7.36,7.68,6.0,2973000.0,596.2378
